AdvisoryNumber,Date,Lat,Long,Wind,Pres,Movement,Type,Name,Received,Forecaster
44,9/9/17 23:00,23.5,81,120,933,NW at 6 MPH (305 deg),Hurricane,Irma,9/9/17 22:59,Berg
44A,9/10/17 2:00,23.7,81.3,130,931,NW at 6 MPH (310 deg),Hurricane,Irma,9/10/17 2:02,Beven
45,9/10/17 5:00,24.1,81.5,130,928,NW at 8 MPH (325 deg),Hurricane,Irma,9/10/17 5:02,Beven
45A,9/10/17 8:00,24.5,81.5,130,929,NNW at 8 MPH (330 deg),Hurricane,Irma,9/10/17 7:55,Pasch
46,9/10/17 11:00,25,81.5,130,933,N at 9 MPH (350 deg),Hurricane,Irma,9/10/17 10:50,Pasch
46A,9/10/17 14:00,25.6,81.8,120,936,N at 12 MPH (350 deg),Hurricane,Irma,9/10/17 13:59,Pasch
47,9/10/17 17:00,26.2,81.8,110,938,N at 14 MPH (350 deg),Hurricane,Irma,9/10/17 16:56,Pasch
47A,9/10/17 20:00,26.7,81.7,105,942,N at 14 MPH (355 deg),Hurricane,Irma,9/10/17 19:53,Berg
48,9/10/17 23:00,27.5,81.9,100,952,N at 14 MPH (350 deg),Hurricane,Irma,9/10/17 22:44,Berg
48A,9/11/17 2:00,28.2,82.2,85,960,NNW at 15 MPH (345 deg),Hurricane,Irma,9/11/17 1:56,Beven
49,9/11/17 5:00,28.9,82.6,75,965,NNW at 18 MPH (340 deg),Hurricane,Irma,9/11/17 4:59,Beven
49A,9/11/17 8:00,29.5,82.9,70,970,NNW at 18 MPH (340 deg),Tropical Storm,Irma,9/11/17 7:59,Pasch
50,9/11/17 11:00,30.3,83.1,65,975,NNW at 17 MPH (340 deg),Tropical Storm,Irma,9/11/17 10:53,Pasch
50A,9/11/17 14:00,30.8,83.6,60,980,NNW at 17 MPH (340 deg),Tropical Storm,Irma,9/11/17 13:50,Pasch
51,9/11/17 17:00,31.5,84,50,985,NNW at 17 MPH (340 deg),Tropical Storm,Irma,9/11/17 16:38,Pasch
51A,9/11/17 20:00,31.9,84.4,45,986,NNW at 16 MPH (330 deg),Tropical Storm,Irma,9/11/17 19:56,Berg
52,9/11/17 23:00,32.4,84.9,35,988,NW at 15 MPH (320 deg),Tropical Depression,IRMA,9/11/17 22:32,Berg